PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,SALARY,Player_Comp_Share,Season
tina charles,39,29.7,14.9,6.2,13.7,45.6,0.3,1.1,26.2,2.2,2.7,78.5,2.5,7.1,9.6,2.3,0.9,0.5,1.6,18.6,130000,0.006989247312,2024
marina mabrey,40,30.9,14.4,5.4,13,41.3,2.5,6.5,37.7,1.2,1.7,71,0.6,3.8,4.4,4.1,1.1,0.4,2.4,13.9,217592,0.01169849462,2024
jonquel jones,39,29.9,14.2,5.3,9.8,53.8,1.5,3.9,38.8,2.1,2.7,78.8,1.7,7.3,9,3.2,0.8,1.3,2.4,21,190000,0.01021505376,2024
aliyah boston,40,30.9,14,5.9,11.2,52.9,0.2,0.7,26.9,2,2.8,73.6,2.8,6.1,8.9,3.2,0.9,1.2,2,20.2,75792,0.00407483871,2024
brionna jones,40,27.2,13.7,5.5,10.2,53.8,0.1,0.4,14.3,2.7,3.6,73.8,2.2,3.4,5.5,1.5,1.2,0.6,1.3,15.5,212000,0.01139784946,2024
angel reese,34,32.5,13.6,4.8,12.3,39.1,0.1,0.5,18.8,3.9,5.2,73.6,5.1,8.1,13.1,1.9,1.3,0.5,2.2,19.2,73439,0.003948333333,2024
rickea jackson,40,28.8,13.4,5,11,45.6,1.1,3.1,34.7,2.3,2.9,80.7,1.3,2.6,3.9,1.5,0.7,0.4,1.9,11.3,76535,0.004114784946,2024
dijonai carrington,39,29.6,12.7,4.4,11,40.3,0.7,2.7,25,3.2,4,79,1.4,3.7,5,1.6,1.6,0.4,1.9,12,78469,0.004218763441,2024
betnijah laney-hamilton,28,30.3,11.8,4.3,9.4,45.6,1.5,3.6,40.2,1.7,1.9,90.6,1.1,3.1,4.2,3.3,1.1,0,2.4,12.8,180000,0.009677419355,2024
teaira mccowan,39,25.2,11.7,4.7,8.3,57,0,0.1,25,2.3,3.2,71.8,2.9,5.2,8.1,1.6,0.9,0.9,2,16.7,195700,0.01052150538,2024
ezi magbegor,37,30.7,11.7,4.6,9.1,51.2,0.4,1.4,24.5,2.1,2.4,87.4,2.2,5.8,8,2,1.1,2.2,1.4,18.8,155000,0.008333333333,2024
natasha cloud,38,33.3,11.5,4,10.1,39.7,1.2,3.8,30.8,2.4,2.9,82.6,0.5,3.6,4.1,6.9,1.4,0.6,3,14.9,200000,0.01075268817,2024
courtney williams,40,26.5,11.1,4.9,11,44.3,0.6,1.7,33.3,0.9,1.1,81,0.4,4.3,4.7,5.5,0.9,0.4,2.5,13.9,175000,0.009408602151,2024
alyssa thomas,40,32.4,10.6,4.2,8.2,50.9,0,0.1,0,2.3,3.6,62.8,2.5,6,8.4,7.9,1.6,0.5,3.6,20,218000,0.01172043011,2024
nalyssa smith,40,24.8,10.6,4.2,8.8,48,0.4,1.2,29.2,1.8,3.2,56.7,1.8,5.3,7.1,1,0.8,1,1.3,13.2,80943,0.004351774194,2024
tyasha harris,39,28.8,10.5,3.7,8.7,42.5,1.5,3.9,39.5,1.5,2,76.6,0.3,1.5,1.8,3,1,0.3,1.4,9.8,97100,0.005220430108,2024
alanna smith,39,26.5,10.1,3.8,8,47.1,1.2,3,39.8,1.4,1.8,75,1.6,4.1,5.6,3.2,1.4,1.5,1.9,15.1,150000,0.008064516129,2024
kamilla cardoso,32,27.4,9.8,3.9,7.6,52.1,0,0,0,1.9,2.6,72.6,3,4.9,7.9,1.7,0.5,1.4,1.5,15.5,76535,0.004114784946,2024
bridget carleton,39,29.9,9.6,3.2,7.3,44.4,2.3,5.3,44.4,0.8,1,78.9,0.9,2.8,3.8,2.2,1,0.3,1,11.6,125000,0.006720430108,2024
stefanie dolson,39,26,9.5,3.4,7.2,47.5,1.8,4,46.5,0.8,1.1,78.6,0.8,4.1,4.9,2.6,0.5,0.5,1.7,12.3,185000,0.009946236559,2024
tiffany hayes,33,21.5,9.5,3.3,6.7,50,1,2.5,40.2,1.8,2.5,71.4,0.8,2,2.8,2.1,0.8,0.3,0.8,10.5,88000,0.004731182796,2024
karlie samuelson,29,24.6,8.4,2.7,6.7,40.9,1.7,4.2,39.8,1.2,1.3,92.3,0.5,2,2.6,2.1,0.9,0,0.9,9.1,125000,0.006720430108,2024
sophie cunningham,40,27.7,8.4,2.6,6,42.9,1.7,4.5,37.8,1.5,1.7,87,0.4,3.5,3.9,2,1,0.3,1,10.9,189500,0.01018817204,2024
myisha hines-allen,40,18.7,7.8,3,6.1,49.2,0.5,1.3,36,1.4,1.7,83.3,1.1,3.6,4.7,2.6,0.7,0.1,1.4,11,180200,0.009688172043,2024
aaliyah edwards,34,21.8,7.6,3,6.2,49,0,0.2,0,1.5,2.4,65,1.4,4.2,5.6,1.4,0.7,0.8,1.5,10.7,73439,0.003948333333,2024
kia nurse,40,20.3,7.6,2.6,6.6,38.8,1.3,4,33.1,1.2,1.5,79.3,0.4,1.2,1.6,1.3,0.5,0,1.2,5.5,142500,0.007661290323,2024
shatori walker-kimbrough,40,22.1,7.5,2.6,6.3,41.5,0.9,2.7,33,1.4,1.7,80.6,0.3,1.4,1.7,1.9,1.1,0.5,1.4,7.2,97850,0.005260752688,2024
monique billings,37,22.8,7.4,2.9,6.2,46.5,0.1,0.4,21.4,1.5,1.9,80.3,1.8,4,5.8,1.4,0.7,0.5,1.8,10.4,35237,0.001894462366,2024
monique billings,37,22.8,7.4,2.9,6.2,46.5,0.1,0.4,21.4,1.5,1.9,80.3,1.8,4,5.8,1.4,0.7,0.5,1.8,10.4,5304,0.0002851612903,2024
monique billings,37,22.8,7.4,2.9,6.2,46.5,0.1,0.4,21.4,1.5,1.9,80.3,1.8,4,5.8,1.4,0.7,0.5,1.8,10.4,19702,0.001059247312,2024
julie vanloo,40,23.2,7.4,2.7,7.7,34.6,1.8,5.6,32.4,0.3,0.4,66.7,0.1,1.5,1.6,4.3,0.5,0,2.6,6.1,64154,0.003449139785,2024
dana evans,39,19.1,7.2,2.4,6.5,37.7,1.1,2.8,37.6,1.2,1.3,96,0.1,1,1.1,2.4,0.7,0.1,1.4,6,78469,0.004218763441,2024
jordan horston,39,22.3,6.8,2.8,5.8,49.3,0.3,1.3,25,0.8,1.1,72.1,1.2,3.1,4.3,1.8,1.3,0.7,1.7,9.9,69663,0.003745322581,2024
leonie fiebich,40,20.9,6.7,2.4,5.1,47.8,1.4,3.2,43.3,0.5,0.6,72,1,2.1,3,1.8,1,0.2,1,8.7,67249,0.003615537634,2024
michaela onyenwere,34,18.7,6.6,2.6,6.2,41.5,0.7,2,36.8,0.7,1.2,61,0.6,1.3,1.8,1,0.6,0.4,1.3,5,85690,0.004606989247,2024
lindsay allen,40,23.8,6.6,2.6,5.6,46.6,0.4,1.2,29.2,1.1,1.3,80.8,0.3,1.7,2,3.9,0.8,0.2,1.6,8.7,90000,0.004838709677,2024
isabelle harrison,36,16.3,6.5,2.6,6.6,39.9,0.1,0.5,16.7,1.1,1.4,82,1.1,2.9,3.9,0.8,0.6,0.3,1.1,6.8,160000,0.008602150538,2024
courtney vandersloot,31,22.3,6.4,2.6,5.9,44.5,0.6,2.2,26.9,0.5,1,54.8,0.4,2.2,2.6,4.8,0.8,0.5,1.8,9.5,194670,0.01046612903,2024
emily engstler,32,14.5,6.2,2.4,4.8,49.4,0.8,1.8,47.4,0.6,0.7,81.8,1.4,2.6,4,1.5,0.6,0.8,0.7,9.7,64154,0.003449139785,2024
alysha clark,40,24.3,6,2.1,4.8,44.3,1.2,3.2,37.3,0.6,0.7,82.1,0.5,3.1,3.6,1.8,0.8,0.3,1.4,8.3,110000,0.005913978495,2024
rae burrell,37,15.6,5.9,1.6,4.4,36.2,0.6,1.9,33.3,2.1,2.7,78,0.6,1.3,1.8,1.1,0.8,0.3,1,5.6,125000,0.006720430108,2024
naz hillmon,40,21.7,5.7,2.3,4.1,55.2,0,0.1,33.3,1.2,1.6,76.2,1.6,3.2,4.8,1.3,0.7,0.3,1,9.7,71124,0.003823870968,2024
kalani brown,39,13.3,5.7,2.4,4.1,58.2,0,0.1,0,1,1.5,66.1,1.1,1.9,3.1,1.1,0.2,0.6,1.2,7.1,125000,0.006720430108,2024
rachel banham,37,15.8,5.7,1.9,5.5,35.1,1.4,3.8,36.6,0.4,0.5,80,0.2,1.2,1.4,1.1,0.4,0.2,0.5,4.6,95000,0.005107526882,2024
kayla thornton,40,20.2,5.5,1.9,5.1,37.9,1.1,3.2,35.7,0.6,0.7,84.6,1,1.6,2.6,0.7,0.7,0.2,0.6,5.9,110000,0.005913978495,2024
lexie hull,34,19.7,5.5,1.8,4,44.1,1,2.1,47.1,1,1.2,80.5,1,1.5,2.5,1.1,0.6,0.3,0.9,6.6,77669,0.004175752688,2024
jacy sheldon,40,23.3,5.4,2,5.3,38.6,0.8,2.4,30.9,0.6,0.7,92.6,0.7,1.4,2.1,2.5,0.6,0.3,1.6,6,73439,0.003948333333,2024
jade melbourne,37,14.2,5.4,1.9,4.5,43.4,0.5,1.5,35.7,0.9,1.3,71.4,0.4,1.1,1.5,1.6,0.6,0.1,1.7,4.6,64154,0.003449139785,2024
li yueru,38,14.4,5.1,1.8,3.9,46.3,0.1,0.4,26.7,1.4,1.6,89.8,1.4,2.2,3.7,0.6,0.3,0.2,0.9,6.8,64767,0.003482096774,2024
sami whitcomb,40,15.3,5,1.8,5.2,34.6,1.2,4,29.2,0.2,0.3,81.8,0.4,1.5,1.9,1.6,0.8,0.2,1,5,140000,0.00752688172,2024
natisha hiedeman,40,15.2,4.9,1.8,4.8,38,0.6,2.1,28,0.6,0.9,73.5,0.4,1.2,1.6,2.4,0.8,0.2,1.1,5.4,120000,0.006451612903,2024
dorka juhász,34,16.1,4.8,2,4.2,47.9,0.3,1,32.4,0.4,0.6,65,0.9,2.9,3.8,1.1,0.4,0.4,0.6,7.4,66597,0.003580483871,2024
cecilia zandalasini,40,12.2,4.6,1.7,3.7,45.3,0.8,1.8,44.3,0.5,0.7,62.1,0.1,1,1.2,1.1,0.4,0.2,0.8,4.3,64154,0.003449139785,2024
diamond deshields,32,13.8,4.5,1.8,5,34.8,0.3,1.6,17.3,0.7,1.1,61.1,0.2,1.2,1.4,1.3,0.6,0.3,0.9,3.5,100000,0.005376344086,2024
sevgi uzun,40,20.5,4.4,1.7,5,34.2,0.5,2.1,23.8,0.5,0.6,82.6,0.2,1.4,1.6,3,0.9,0.3,1.8,5,64154,0.003449139785,2024
katie lou samuelson,37,18.2,4.3,1.4,3.9,34.9,0.9,2.7,33,0.6,0.7,96,0.5,1.8,2.3,1.4,0.3,0.2,0.5,5.5,175000,0.009408602151,2024
mercedes russell,37,15.8,3.9,1.7,3.2,51.7,0,0,0,0.6,0.9,63.6,0.7,2.3,3,0.8,0.6,0.2,0.7,5.9,160000,0.008602150538,2024
haley jones,40,17.8,3.9,1.5,3.7,39.7,0.2,0.7,21.4,0.8,1.2,70.2,0.3,2,2.2,2.1,0.4,0.3,1.7,4.6,72727,0.003910053763,2024
natasha mack,40,15.5,3.8,1.8,3.1,57.3,0,0.1,0,0.3,0.5,57.9,1.5,3.5,5,1.1,0.7,1.2,0.7,9.5,64154,0.003449139785,2024
megan gustafson,38,10.7,3.7,1.4,2.8,50,0.6,1.5,38.6,0.3,0.4,76.5,0.6,1.3,1.9,0.2,0.3,0.1,0.4,4.5,94000,0.005053763441,2024
erica wheeler,39,14,3.6,1.5,3.6,41.1,0.4,1.3,28.8,0.3,0.3,84.6,0.2,1.2,1.4,1.8,0.4,0.1,0.9,4.2,202154,0.01086849462,2024
zia cooke,29,8.9,3.6,1.2,3.9,32.1,0.4,1.3,29.7,0.7,1,69,0.1,0.5,0.6,0.6,0.3,0.1,0.7,1.5,69663,0.003745322581,2024
stephanie talbot,37,16.2,3.5,1.3,3.4,39.5,0.4,1.4,26,0.5,0.8,69,0.6,2.2,2.7,2.1,0.5,0.5,1,6,115000,0.006182795699,2024
kennedy burke,38,12.1,3.4,1.4,3.5,40.9,0.4,1.5,25.9,0.2,0.3,66.7,0.4,1.2,1.5,0.9,0.6,0.3,0.7,3.9,76535,0.004114784946,2024
olivia nelson-ododa,37,11.8,3.4,1.3,2.7,49.5,0,0,0,0.7,1.1,65.9,0.8,1.7,2.5,0.2,0.4,0.6,0.8,4.5,71124,0.003823870968,2024
nia coffey,40,13.4,3.3,1.2,3.7,32.4,0.5,1.7,27.3,0.4,0.5,76.2,0.5,1.9,2.4,1.2,0.3,0.7,1,4.1,150000,0.008064516129,2024
crystal dangerfield,33,13.3,3.2,1.1,4,28.2,0.5,1.9,27.4,0.5,0.5,88.2,0.1,1,1,1.9,0.3,0.2,0.8,2.9,36436,0.001958924731,2024
crystal dangerfield,33,13.3,3.2,1.1,4,28.2,0.5,1.9,27.4,0.5,0.5,88.2,0.1,1,1,1.9,0.3,0.2,0.8,2.9,15912,0.000855483871,2024
crystal dangerfield,33,13.3,3.2,1.1,4,28.2,0.5,1.9,27.4,0.5,0.5,88.2,0.1,1,1,1.9,0.3,0.2,0.8,2.9,21218,0.001140752688,2024
mikiah herbert harrigan,31,10.8,3.2,1.1,2.8,40.7,0.5,1.7,32.1,0.4,0.6,55,0.5,1,1.5,0.3,0.5,0.4,0.5,3.4,64154,0.003449139785,2024
victoria vivians,35,12.7,3.1,1.2,3.5,33.3,0.6,2,31.9,0.2,0.3,66.7,0.5,1.4,2,0.8,0.4,0.2,0.6,3.5,85000,0.004569892473,2024
victoria vivians,35,12.7,3.1,1.2,3.5,33.3,0.6,2,31.9,0.2,0.3,66.7,0.5,1.4,2,0.8,0.4,0.2,0.6,3.5,76535,0.004114784946,2024
veronica burton,31,12.7,3.1,0.8,2.3,36.1,0.4,1.2,35.1,1,1.2,83.8,0.4,1,1.4,1.9,0.5,0.2,0.5,4.9,50180,0.002697849462,2024
kate martin,34,11.5,2.6,0.8,2.6,30.7,0.6,1.8,35.5,0.3,0.4,91.7,0.2,1.4,1.6,0.9,0.2,0.2,0.6,3,67249,0.003615537634,2024
sydney colson,31,8,2.5,0.9,2.1,42.2,0.5,1.2,37.8,0.3,0.3,88.9,0,0.4,0.5,1,0.5,0.2,0.5,2.8,76535,0.004114784946,2024
sug sutton,29,13.1,2.3,0.8,2.7,30.4,0.3,1.4,24.4,0.3,0.4,69.2,0.2,0.8,1,2.1,0.6,0,1.2,2.8,64154,0.003449139785,2024
kiah stokes,39,18.4,1.4,0.5,1.6,32.3,0.2,1,22.5,0.2,0.2,66.7,0.6,4.1,4.7,0.7,0.5,0.8,0.4,6.7,100000,0.005376344086,2024
lorela cubaj,28,7.9,1.2,0.5,1.3,42.9,0,0,0,0.1,0.2,60,0.7,0.8,1.5,0.5,0.3,0.1,0.4,2.4,64154,0.003449139785,2024
jewell loyd,38,35.3,24.7,7.5,20.3,37,3,8.5,35.6,6.7,7.5,88.8,1.1,3.6,4.7,3.4,1,0.4,2.8,17.9,234936,0.01329575552,2023
breanna stewart,40,34.1,23,7.9,17,46.5,2.1,5.8,35.5,5.1,6,85.1,1.6,7.7,9.3,3.8,1.5,1.6,1.5,27.6,180000,0.01018675722,2023
a'ja wilson,40,30.7,22.8,8.4,15,55.7,0.2,0.7,31,5.8,7.2,81.2,2.1,7.5,9.5,1.6,1.4,2.2,1.6,28,202154,0.01144052066,2023
napheesa collier,37,33.5,21.5,8,16.6,48.5,0.9,3.1,29.8,4.5,5.4,84,1.9,6.6,8.5,2.5,1.6,1.2,2.4,23.5,202154,0.01144052066,2023
arike ogunbowale,40,37.2,21.2,7.5,18.8,39.8,2.9,8.5,34.3,3.4,3.8,87.6,0.5,2.9,3.4,4.5,1.7,0.1,2.6,16.5,234936,0.01329575552,2023
nneka ogwumike,36,31.1,19.1,7.3,14.3,51.2,0.6,1.7,33.9,3.9,4.5,87,1.7,7.1,8.8,2.7,1.7,0.7,2.2,23.2,199530,0.01129202037,2023
kahleah copper,38,31.2,18.7,6.9,15.4,44.8,1.8,4.5,40.4,3.1,4,77,0.7,3.7,4.4,2,0.9,0.3,2.5,14.4,205000,0.01160158461,2023
kelsey plum,39,32.4,18.7,6.4,13.4,47.5,2.4,6.3,38.9,3.5,3.8,91.2,0.2,2.2,2.4,4.5,1.1,0,2.1,17.3,200000,0.01131861913,2023
satou sabally,38,33.1,18.6,6.2,14.3,43.5,1.7,4.8,36.1,4.4,5,87.4,2.3,5.8,8.1,4.4,1.8,0.4,2.9,21.7,86701,0.004906677985,2023
kelsey mitchell,40,33.7,18.2,6.1,13.9,44.1,2.6,6.4,39.8,3.4,4.1,82.4,0.3,1.3,1.6,3.1,0.9,0.1,2.3,13.2,206000,0.0116581777,2023
jackie young,40,31.5,17.6,6.2,11.9,52.3,2.2,5,44.9,2.9,3.4,86.7,0.7,3.4,4,3.8,1.3,0.1,1.8,18.9,165000,0.009337860781,2023
brittney griner,31,27.6,17.5,7.1,12.6,56,0,0.3,11.1,3.4,4.4,77.2,1.2,5.1,6.3,2.2,0.5,1.6,2.1,19.5,165100,0.009343520091,2023
rhyne howard,39,32.9,17.5,5.8,15.1,38.5,2.5,7.2,35.2,3.3,4.2,78.8,0.7,4.3,4.9,3.5,1.3,0.6,1.9,15.8,73584,0.00416434635,2023
dewanna bonner,40,30.1,17.4,5.8,13.7,42.5,1.9,5.7,32.9,3.9,4.5,86.2,0.9,4.7,5.6,2.2,1.1,0.6,1.5,16.9,234350,0.01326259196,2023
allisha gray,38,32.7,17.1,5.8,12.4,46.5,1.1,3.1,35.6,4.4,5.4,82.4,1.2,3.7,4.9,3.1,1.1,0.4,1.9,17.1,194600,0.01101301641,2023
sabrina ionescu,36,31.5,17,5.4,12.8,42.3,3.6,7.9,44.8,2.6,3,87.2,0.8,4.8,5.6,5.4,1,0.3,2.6,18.9,86701,0.004906677985,2023
natasha howard,39,33.1,16.5,6.3,13.8,45.8,1,3.3,29.9,2.8,3.5,81.5,2.2,5.9,8,2.6,1.3,1.2,2.8,18.6,227900,0.0128975665,2023
brittney sykes,40,31.3,15.9,5.7,13.1,43.9,1.4,4,35,3.1,3.8,79.7,1,4,5,3.8,2.1,0.3,2.4,16.6,190000,0.01075268817,2023
alyssa thomas,40,36.2,15.5,6.1,12.8,47.4,0,0.1,0,3.3,4.7,71.5,2,7.9,9.9,7.9,1.8,0.5,3.4,24,212000,0.01199773628,2023
nalyssa smith,31,28.5,15.5,6.1,12.7,47.7,0.6,2.2,28.4,2.7,4,67.7,2.1,7.1,9.2,1.4,0.3,0.3,2.7,16.1,73584,0.00416434635,2023
chelsea gray,40,32.2,15.3,5.6,11.5,49,1.6,3.8,42.1,2.4,2.7,89.7,0.3,3.7,4,7.3,1.4,0.6,2.5,19.9,196267,0.0111073571,2023
cheyenne parker-tyus,40,26.7,15,5.8,12,48.2,0.4,1.4,27.8,3,3.7,82.9,2.2,4.5,6.7,1.8,1.1,1.5,2.3,16.9,216100,0.01222976797,2023
marina mabrey,39,30,15,5.2,12.6,41.1,2.3,5.8,39,2.4,2.8,83.6,0.9,2.9,3.7,3.6,0.7,0.5,2.2,13.5,202000,0.01143180532,2023
aliyah boston,40,31.2,14.5,5.8,10.1,57.8,0.1,0.3,40,2.7,3.6,74.5,3.1,5.3,8.4,2.2,1.3,1.3,1.9,20.6,74305,0.004205149972,2023
kayla mcbride,38,31.8,14.3,4.9,11.6,42.4,2.2,6.4,34.2,2.2,2.6,86.7,0.4,2.8,3.2,2.2,1.2,0.2,1.7,12.4,201984,0.01143089983,2023
ezi magbegor,40,32.6,13.8,5.4,10.6,51.3,0.8,2,38.5,2.2,3.1,69.9,1.6,6.5,8.1,2.6,1.1,1.9,2.4,18.9,159650,0.009035087719,2023
jordin canada,38,32.6,13.3,4.3,10.6,40.4,1.1,3.2,33.3,3.6,4.2,87.3,0.2,2.8,3.1,6,2.3,0.2,2.7,15.3,74305,0.004205149972,2023
betnijah laney-hamilton,40,30,12.8,5,10,49.9,1.5,3.8,39.2,1.3,1.7,79.1,0.8,2.5,3.3,2.4,0.9,0.1,1.9,12.2,201984,0.01143089983,2023
natasha cloud,37,32.4,12.7,4,10.7,37.7,1.2,4.1,29.8,3.4,3.8,90,0.2,3.5,3.7,6.2,1.1,0.3,2.6,14.3,190000,0.01075268817,2023
diamond miller,32,26.1,12.1,4.4,10.8,40.3,1,3.2,30.7,2.4,3,79.2,0.7,2.8,3.5,2.5,0.9,0.3,2.3,10,74305,0.004205149972,2023
tiffany hayes,40,27.1,12.1,4.2,8.8,47.6,1.2,3.3,36.6,2.5,3.2,77.8,1,2.1,3,2.6,0.9,0.1,1.4,11.9,162477,0.009195076401,2023
teaira mccowan,30,26.1,11.9,5,9.1,55.1,0,0.1,0,1.9,3.3,58.6,3.5,5.6,9.1,1.5,0.5,1.2,1.5,17.2,190000,0.01075268817,2023
jonquel jones,40,25,11.3,4.4,8.4,52.7,0.8,2.3,35.2,1.7,2,86.3,2.6,5.8,8.4,1.8,0.6,1.3,2.1,17.1,211150,0.01194963214,2023
sophie cunningham,31,29,11.3,3.6,8.7,41.3,1.9,5.5,33.7,2.3,2.6,87.5,0.5,2.3,2.8,2.1,0.6,0.4,1.5,10.3,150000,0.008488964346,2023
azurá stevens,35,26,10.8,4.3,10.5,40.4,1,3.1,32.1,1.3,1.7,75.4,1.5,4.4,5.9,1.1,1.2,0.9,1.5,11.8,190000,0.01075268817,2023
courtney vandersloot,39,30.4,10.5,4.1,9.3,44.2,0.9,3.2,29.4,1.3,1.7,76.1,0.5,3,3.5,8.1,1.3,0.6,2.7,15.7,194000,0.01097906055,2023
moriah jefferson,39,24.9,10.5,4.2,9.8,43.3,1,2.8,35.2,1.1,1.3,82,0.2,1.7,2,3.6,1.1,0.2,1.6,9.9,137500,0.007781550651,2023
courtney williams,40,30.1,10.4,4.4,10.1,43.7,1.2,2.7,44.3,0.4,0.6,60,1,5.1,6,6.3,1,0.3,2.5,15.5,160000,0.009054895303,2023
erica wheeler,40,26.8,9.9,3.7,9.2,39.8,0.8,2.4,30.9,1.8,2.1,87.8,0.4,2.6,3,5,1.1,0.1,2.1,11.2,242154,0.01370424448,2023
elizabeth williams,40,29.7,9.8,4.2,8.1,51.4,0,0,0,1.5,2.3,63,2.3,3.6,5.8,2.5,1.3,1.5,1.4,14.7,135000,0.007640067912,2023
sami whitcomb,40,24.5,9.7,3.2,8,40,2.2,5.8,38.5,1.1,1.3,83,0.5,2.4,2.9,2.9,0.9,0.4,2,9.7,142500,0.008064516129,2023
alanna smith,38,26.5,9.2,3.5,7,49.8,0.8,2.7,29.4,1.4,2.1,67.9,1.8,4.7,6.6,1.8,1.3,1.3,1.5,14.5,100000,0.005659309564,2023
dana evans,39,21.5,9,3,8.3,36,1.1,3.7,29.4,1.9,2.3,85.4,0.2,1,1.2,3,0.7,0.1,1.6,6.8,69053,0.003907923033,2023
dearica hamby,40,24.8,8.9,3.3,7.7,43.1,0.2,1,22,2.1,3.2,64.8,1.3,4.6,5.9,1.8,0.9,0.3,1.5,10.8,169000,0.009564233164,2023
michaela onyenwere,40,23.8,8.9,3.3,8.1,40.4,0.9,2.8,31.5,1.5,2,75.9,1.2,2.5,3.7,1.3,0.8,0.5,2,7.8,75407,0.004267515563,2023
natisha hiedeman,40,26.7,8.5,3.1,7.9,39.2,1.5,4,36.6,0.9,1.2,73.9,0.2,1.9,2.1,2.7,0.9,0.1,1.4,7.7,120000,0.006791171477,2023
dijonai carrington,32,17.2,8.3,2.9,7,41.7,0.7,1.9,37.1,1.8,2.3,75.7,0.8,2,2.9,1.3,0.6,0.1,1.1,7.4,69053,0.003907923033,2023
crystal dangerfield,35,27.8,8.2,3.4,8,42.5,0.8,2.7,29,0.6,0.8,81.5,0.8,2.1,2.9,3.1,0.9,0.2,1.2,9.4,80000,0.004527447651,2023
sug sutton,40,26.3,8.2,3.2,8.2,38.5,0.8,2.2,33.7,1.2,1.4,80.7,0.4,2.2,2.6,4.8,0.7,0.1,2.5,8.5,62285,0.003524900962,2023
tianna hawkins,40,23.1,8.2,3.3,6.6,49.1,0.7,2.2,33.3,1,1.3,75,1.5,3.5,5,1.4,0.8,0.4,1.2,10.9,74305,0.004205149972,2023
megan gustafson,34,15.1,7.9,3,5.7,52.6,0.4,1.3,34.9,1.5,1.8,80.6,1.4,2.5,3.9,0.7,0.4,0.4,1.1,9.1,74305,0.004205149972,2023
kalani brown,32,16.4,7.8,2.8,4.5,62.9,0,0,0,2.2,2.7,80.2,1.7,2.8,4.5,1,0.2,0.7,1.3,10.7,35861,0.002029485003,2023
kalani brown,32,16.4,7.8,2.8,4.5,62.9,0,0,0,2.2,2.7,80.2,1.7,2.8,4.5,1,0.2,0.7,1.3,10.7,14538,0.0008227504244,2023
